AWS_AccountID,AWS_Region,AWS_Partition,AWS_Service,AWS_ResourceType,AWS_ResourceID,AWS_ResourceARN,AWS_Tags
211203495394,eu-west-1,aws,ec2,security-group,sg-0f291392aa5c7f6a5,arn:aws:ec2:eu-west-1:211203495394:security-group/sg-0f291392aa5c7f6a5,"[{'Key': 'GithubRepo', 'Value': 'terraform-aws-rds-aurora'}, {'Key': 'Example', 'Value': 'ex-rds'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ex-rds'}]"
211203495394,eu-west-1,aws,ec2,subnet,subnet-0076be8650f44e684,arn:aws:ec2:eu-west-1:211203495394:subnet/subnet-0076be8650f44e684,"[{'Key': 'GithubRepo', 'Value': 'terraform-aws-rds-aurora'}, {'Key': 'Example', 'Value': 'ex-rds'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ex-rds-private-eu-west-1a'}]"
211203495394,eu-west-1,aws,ec2,subnet,subnet-0086d85fa6dfd151a,arn:aws:ec2:eu-west-1:211203495394:subnet/subnet-0086d85fa6dfd151a,"[{'Key': 'GithubRepo', 'Value': 'terraform-aws-rds-aurora'}, {'Key': 'Example', 'Value': 'ex-rds'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ex-rds-private-eu-west-1b'}]"
211203495394,eu-west-1,aws,ec2,subnet,subnet-03f1568f5d2d2198b,arn:aws:ec2:eu-west-1:211203495394:subnet/subnet-03f1568f5d2d2198b,"[{'Key': 'GithubRepo', 'Value': 'terraform-aws-rds-aurora'}, {'Key': 'Example', 'Value': 'ex-rds'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ex-rds-public-eu-west-1a'}]"
211203495394,eu-west-1,aws,ec2,subnet,subnet-04828ea93e59c0a8d,arn:aws:ec2:eu-west-1:211203495394:subnet/subnet-04828ea93e59c0a8d,"[{'Key': 'GithubRepo', 'Value': 'terraform-aws-rds-aurora'}, {'Key': 'Example', 'Value': 'ex-rds'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ex-rds-public-eu-west-1b'}]"
211203495394,eu-west-1,aws,ec2,subnet,subnet-06a603d0944aca585,arn:aws:ec2:eu-west-1:211203495394:subnet/subnet-06a603d0944aca585,"[{'Key': 'GithubRepo', 'Value': 'terraform-aws-rds-aurora'}, {'Key': 'Example', 'Value': 'ex-rds'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ex-rds-public-eu-west-1c'}]"
211203495394,eu-west-1,aws,ec2,subnet,subnet-0a91f062f1412ff72,arn:aws:ec2:eu-west-1:211203495394:subnet/subnet-0a91f062f1412ff72,"[{'Key': 'GithubRepo', 'Value': 'terraform-aws-rds-aurora'}, {'Key': 'Example', 'Value': 'ex-rds'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ex-rds-db-eu-west-1b'}]"
211203495394,eu-west-1,aws,ec2,subnet,subnet-0c4480b6e0e14cf8b,arn:aws:ec2:eu-west-1:211203495394:subnet/subnet-0c4480b6e0e14cf8b,"[{'Key': 'GithubRepo', 'Value': 'terraform-aws-rds-aurora'}, {'Key': 'Example', 'Value': 'ex-rds'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ex-rds-db-eu-west-1c'}]"
211203495394,eu-west-1,aws,ec2,subnet,subnet-0d692beb4f170dd87,arn:aws:ec2:eu-west-1:211203495394:subnet/subnet-0d692beb4f170dd87,"[{'Key': 'GithubRepo', 'Value': 'terraform-aws-rds-aurora'}, {'Key': 'Example', 'Value': 'ex-rds'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ex-rds-db-eu-west-1a'}]"
211203495394,eu-west-1,aws,ec2,subnet,subnet-0db84652962d42e7a,arn:aws:ec2:eu-west-1:211203495394:subnet/subnet-0db84652962d42e7a,"[{'Key': 'GithubRepo', 'Value': 'terraform-aws-rds-aurora'}, {'Key': 'Example', 'Value': 'ex-rds'}, {'Key': 'GithubOrg', 'Value': 'terraform-aws-modules'}, {'Key': 'Name', 'Value': 'ex-rds-private-eu-west-1c'}]"
